id_reclamacao,id_data,id_operadora,id_uf,id_tipo,status,sigla_servico,qtd
1,401,1,25,9,Pendente,SCM,1
2,602,2,25,7,Respondida,SCM,1
3,298,3,17,4,Pendente,SCM,1
4,329,4,25,34,Em Análise,SCM,1
5,487,4,5,2,Pendente,SCM,1
6,628,1,9,2,Respondida,SCM,1
7,281,4,14,35,Pendente,SCM,1
8,428,1,5,4,Respondida,SCM,1
9,557,5,25,7,Respondida,SCM,1
10,609,1,25,2,Respondida,SCM,1
11,258,4,19,35,Em Análise,SCM,1
12,114,4,20,4,Respondida,SCM,1
13,711,4,6,35,Em Análise,SCM,1
14,343,4,19,4,Pendente,SCM,1
15,179,4,20,4,Em Análise,SCM,1
16,387,5,24,35,Respondida,SCM,1
17,482,4,21,2,Respondida,SCM,1
18,198,1,20,4,Respondida,SCM,1
19,532,2,4,11,Respondida,SCM,1
20,700,1,25,7,Respondida,SCM,1
21,461,5,19,4,Respondida,SCM,1
22,669,5,25,12,Em Análise,SCM,1
23,405,4,6,4,Respondida,SCM,1
24,56,1,22,4,Respondida,SCM,1
25,295,4,14,7,Respondida,SCM,1
26,279,5,25,35,Pendente,SCM,1
27,386,1,6,6,Respondida,SCM,1
28,469,2,21,35,Respondida,SCM,1
29,48,4,10,4,Respondida,SCM,1
30,71,4,10,9,Respondida,SCM,1
31,397,1,19,9,Respondida,SCM,1
32,434,5,23,4,Respondida,SCM,1
33,287,4,5,7,Em Análise,SCM,1
34,462,2,4,3,Respondida,SCM,1
35,680,4,16,4,Pendente,SCM,1
36,689,2,13,16,Respondida,SCM,1
37,667,1,25,9,Respondida,SCM,1
38,463,5,19,4,Respondida,SCM,1
39,137,6,5,35,Respondida,SCM,1
40,212,5,17,9,Pendente,SCM,1
41,632,4,14,34,Respondida,SCM,1
42,564,1,19,7,Respondida,SCM,1
43,435,4,13,4,Respondida,SCM,1
44,285,1,1,4,Em Análise,SCM,1
45,577,4,13,9,Respondida,SCM,1
46,35,2,11,9,Respondida,SCM,1
47,344,4,25,35,Pendente,SCM,1
48,337,1,27,7,Respondida,SCM,1
