Data_Abertura;Hora_Abertura;Tipo;Motivo;Detalhe_Motivo;Status;Agrupamento;Nome;Porte;Grupo_Economico;UF;Municipio;Sigla
05/02/2023;14:55;Reclamação;Falha;Falha/Interrupção do serviço;Pendente;SCM;Telefonica Brasil S.A.;Grande;Vivo;SP;SOROCABA;SCM
25/08/2023;21:48;Reclamação;Contrato;Cancelamento não realizado;Respondida;SCM;OI S.A.;Grande;Oi;SP;GUARULHOS;SCM
25/10/2022;08:11;Reclamação;Cobrança;Cobrança indevida;Pendente;SCM;SERCOMTEL S.A. - TELECOMUNICAÇÕES;Pequeno;Sercomtel;PE;CARUARU;SCM
25/11/2022;22:37;Reclamação;Velocidade;NÃO INFORMADO;Em análise;SCM;CLARO S/A;Grande;Claro;SP;CAMPINAS;SCM
02/05/2023;09:46;Reclamação;Atendimento;Atendimento inadequado;Pendente;SCM;CLARO S.A.;Grande;Claro;BA;VITÓRIA DA CONQUISTA;SCM
20/09/2023;13:45;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;GO;GOIÂNIA;SCM
08/10/2022;16:42;Reclamação;Velocidade;Velocidade abaixo do contratado;Pendente;SCM;CLARO S.A.;Grande;Claro;PA;BELÉM;SCM
04/03/2023;11:46;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;BA;VITÓRIA DA CONQUISTA;SCM
11/07/2023;10:26;Reclamação;Contrato;Cancelamento não realizado;Respondida;SCM;TIM S.A.;Grande;TIM;SP;SOROCABA;SCM
01/09/2023;10:42;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SP;CAMPINAS;SCM
15/09/2022;14:06;Reclamação;Velocidade;Velocidade abaixo do contratado;Em análise;SCM;CLARO S/A;Grande;Claro;RJ;NITERÓI;SCM
24/04/2022;08:47;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;CLARO S.A.;Grande;Claro;RN;RN - INTERIOR;SCM
12/12/2023;20:46;Reclamação;Velocidade;Velocidade abaixo do contratado;Em análise;SCM;CLARO S.A.;Grande;NÃO INFORMADO;CE;CAUCAIA;SCM
09/12/2022;22:50;Reclamação;Cobrança;Cobrança indevida;Pendente;SCM;Net Serviços De Comunicação S.A.;Grande;Claro;RJ;NITERÓI;SCM
28/06/2022;09:25;Reclamação;Cobrança;Cobrança indevida;Em análise;SCM;CLARO S.A.;Grande;Claro;RN;RN - INTERIOR;SCM
22/01/2023;10:17;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TIM S.A.;Grande;TIM;SC;SC - INTERIOR;SCM
27/04/2023;22:38;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;RS;PORTO ALEGRE;SCM
17/07/2022;19:54;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;RN;RN - INTERIOR;SCM
16/06/2023;15:00;Reclamação;Instalação;NÃO INFORMADO;Respondida;SCM;OI S.A.;Grande;Oi;AM;PARINTINS;SCM
01/12/2023;18:22;Reclamação;Contrato;Cancelamento não realizado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SP;GUARULHOS;SCM
06/04/2023;14:46;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TIM S.A.;Grande;TIM;RJ;RIO DE JANEIRO;SCM
31/10/2023;07:02;Reclamação;Instalação;Prazo de instalação excedido;Em análise;SCM;TIM S.A.;Grande;TIM;SP;GUARULHOS;SCM
09/02/2023;08:16;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;CLARO S.A.;Grande;Claro;CE;JUAZEIRO DO NORTE;SCM
25/02/2022;07:47;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;RO;RO - INTERIOR;SCM
22/10/2022;09:34;Reclamação;Contrato;Cancelamento não realizado;Respondida;SCM;Claro S.A.;Grande;Claro;PA;BELÉM;SCM
06/10/2022;20:22;Reclamação;Velocidade;Velocidade abaixo do contratado;Pendente;SCM;TIM S.A.;Grande;TIM;SP;CAMPINAS;SCM
21/01/2023;15:30;Reclamação;Cobrança;-;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;CE;CAUCAIA;SCM
14/04/2023;07:02;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;OI S.A.;Grande;Oi;RS;PORTO ALEGRE;SCM
17/02/2022;07:38;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;CLARO S.A.;Grande;Claro;MA;TIMON;SCM
12/03/2022;07:39;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;CLARO S.A.;Grande;Claro;MA;SÃO LUÍS;SCM
01/02/2023;13:33;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;RJ;RIO DE JANEIRO;SCM
10/03/2023;08:22;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TIM S.A.;Grande;TIM;RR;RR - INTERIOR;SCM
14/10/2022;10:00;Reclamação;Contrato;Cancelamento não realizado;Em análise;SCM;CLARO S.A.;Grande;Claro;BA;SALVADOR;SCM
07/04/2023;20:10;Reclamação;Atendimento;N/A;Respondida;SCM;OI S.A.;Grande;Oi;AM;PARINTINS;SCM
11/11/2023;18:58;Reclamação;Cobrança;Cobrança indevida;Pendente;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;PR;CURITIBA;SCM
20/11/2023;15:38;Reclamação;-;Atendimento inadequado;Respondida;SCM;OI S.A.;Grande;N/A;MG;BELO HORIZONTE;SCM
29/10/2023;22:48;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SP;GUARULHOS;SCM
08/04/2023;16:13;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TIM S.A.;Grande;TIM;RJ;RIO DE JANEIRO;SCM
17/05/2022;09:16;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;N/A;Grande;Claro;BA;FEIRA DE SANTANA;SCM
31/07/2022;08:36;Reclamação;Falha;Falha/Interrupção do serviço;Pendente;SCM;TIM S.A.;Grande;TIM;PE;CARUARU;SCM
24/09/2023;14:16;Reclamação;Velocidade; ;Respondida;SCM;CLARO S.A.;Grande;Claro;PA;ANANINDEUA;SCM
18/07/2023;10:03;Reclamação;Contrato;Cancelamento não realizado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;RJ;NITERÓI;SCM
11/03/2023;09:27;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;MG;JUIZ DE FORA;SCM
12/10/2022;12:21;Reclamação;Cobrança;Cobrança indevida;Em análise;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;AC;AC - INTERIOR;SCM
31/07/2023;12:09;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;CLARO S.A.;Grande;Claro;MG;UBERLÂNDIA;SCM
04/02/2022;09:01;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;OI S.A.;Grande;Oi;MT;CUIABÁ;SCM
10/12/2022;21:31;Reclamação;Velocidade;Velocidade abaixo do contratado;Pendente;SCM;CLARO S.A.;Grande;NÃO INFORMADO;SP;SÃO PAULO;SCM
03/12/2022;10:50;Reclamação;Contrato;Cancelamento não realizado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;TO;TO - INTERIOR;SCM
05/05/2023;11:07;Reclamação;Instalação;Prazo de instalação excedido;Respondida;SCM;CLARO S.A.;Grande;Claro;PE;CARUARU;SCM
21/03/2022;16:04;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TIM S.A.;Grande;TIM;SP;GUARULHOS;SCM
07/03/2023;20:29;Reclamação;-;Cobrança indevida;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PA;SANTARÉM;SCM
18/05/2023;21:10;Reclamação;Instalação;Prazo de instalação excedido;Respondida;SCM;TIM S.A.;Grande;TIM;RJ;NOVA IGUAÇU;SCM
26/10/2023;14:00;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;OI S.A.;Grande;Oi;SC;SC - INTERIOR;SCM
09/04/2022;10:58;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PI;PI - INTERIOR;SCM
14/08/2022;16:02;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TIM S.A.;Grande;TIM;BA;SALVADOR;SCM
13/03/2022;20:38;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TIM S.A.;Grande;TIM;SP;GUARULHOS;SCM
06/06/2022;12:15;Reclamação;Atendimento;Atendimento inadequado;Pendente;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;AM;ITACOATIARA;SCM
11/08/2023;10:04;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SP;SANTOS;SCM
20/08/2023;22:06;Reclamação;Instalação;Prazo de instalação excedido;Respondida;SCM;TIM S.A.;Grande;TIM;AM;PARINTINS;SCM
24/06/2022;22:08;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;BA;SALVADOR;SCM
24/04/2022;18:16;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;OI S.A.;Grande;Oi;PR;CURITIBA;SCM
21/01/2023;19:00;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;MG;CONTAGEM;SCM
30/03/2022;19:19;Reclamação;-;Cobrança indevida;Respondida;SCM;OI S.A.;Grande;Oi;MG;BELO HORIZONTE;SCM
12/03/2023;19:16;Reclamação;Cobrança;Cobrança indevida;Pendente;SCM;TIM S.A.;Grande;TIM;RJ;DUQUE DE CAXIAS;SCM
22/04/2022;21:32;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;CLARO S.A.;Grande;Claro;SP;GUARULHOS;SCM
20/08/2023;07:25;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PE;PETROLINA;SCM
25/04/2022;15:10;Reclamação;Instalação;Prazo de instalação excedido;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;RS;PORTO ALEGRE;SCM
08/02/2022;20:49;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;AC;AC - INTERIOR;SCM
04/05/2022;15:00;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;CLARO S.A.;Grande;Claro;SP;CAMPINAS;SCM
25/10/2023;18:00;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;GO;APARECIDA DE GOIÂNIA;SCM
26/04/2022;07:54;Reclamação;Atendimento;-;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PR;PONTA GROSSA;SCM
04/03/2022;09:12;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;SERCOMTEL S.A. - TELECOMUNICAÇÕES;Pequeno;Sercomtel;RS;CANOAS;SCM
05/06/2023;18:50;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TIM S.A.;Grande;TIM;RN;RN - INTERIOR;SCM
05/12/2022;18:17;Reclamação;Instalação;Prazo de instalação excedido;Respondida;SCM;SERCOMTEL S.A. - TELECOMUNICAÇÕES;Pequeno;Sercomtel;MG;BELO HORIZONTE;SCM
04/02/2023;13:35;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;MA;SÃO LUÍS;SCM
19/05/2022;20:52;Reclamação;Falha;Falha/Interrupção do serviço;Pendente;SCM;CLARO S.A.;Grande;Claro;MA;SÃO LUÍS;SCM
16/07/2022;08:05;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TIM S.A.;Grande;TIM;MT;CUIABÁ;SCM
18/03/2023;19:59;Reclamação;Cobrança;Cobrança indevida;Em análise;SCM;EMBRATEL S.A.;Grande;Claro;AM;MANAUS;SCM
04/12/2022;17:32;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;PR;LONDRINA;SCM
13/11/2023;21:11;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;RS;CANOAS;SCM
07/09/2023;09:33;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;CLARO S.A.; ;Claro;PR;LONDRINA;SCM
14/07/2022;12:43;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;Telefonica Brasil S.A.;Grande;Vivo;MT;VÁRZEA GRANDE;SCM
21/11/2023;17:21;Reclamação;Velocidade;-;Respondida;SCM;CLARO S.A.;Grande;Claro;SC;SC - INTERIOR;SCM
18/10/2022;12:53;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SP;CAMPINAS;SCM
