Data_Abertura;Hora_Abertura;Tipo;Motivo;Detalhe_Motivo;Status;Agrupamento;Nome;Porte;Grupo_Economico;UF;Municipio;Sigla
11/11/2023;13:59;Reclamação;Internet;Velocidade de internet móvel abaixo;Em análise;SMP;CLARO S.A.;Grande;Claro;GO;GOIÂNIA;SMP
05/04/2023;14:00;Reclamação;Atendimento;Atendimento ao cliente;Em análise;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;PI;PI - INTERIOR;SMP
29/06/2023;12:51;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;MG;UBERLÂNDIA;SMP
23/11/2023;12:39;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;OI S.A.;Grande;Oi;PE;OLINDA;SMP
08/11/2023;16:04;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;RJ;RIO DE JANEIRO;SMP
23/06/2023;21:50;Reclamação;Atendimento;Atendimento ao cliente;Respondida;SMP;TIM S.A.;Grande;TIM;RJ;DUQUE DE CAXIAS;SMP
14/10/2023;12:39;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;MG;UBERLÂNDIA;SMP
17/01/2023;07:54;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Em análise;SMP;CLARO S.A.;Grande;Claro;PR;LONDRINA;SMP
25/06/2022;20:23;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TIM S.A.;Grande;TIM;SP;SÃO PAULO;SMP
08/04/2022;15:08;Reclamação;Atendimento;Atendimento ao cliente;Respondida;SMP;TIM S.A.;Grande;TIM;RO;RO - INTERIOR;SMP
24/08/2022;19:51;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;MG;CONTAGEM;SMP
25/02/2023;10:54;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;TIM S.A.;Grande;TIM;TO;TO - INTERIOR;SMP
14/01/2023;17:57;Reclamação;Internet;Velocidade de internet móvel abaixo;Em análise;SMP;OI S.A.;Grande;Oi;MA;TIMON;SMP
04/03/2023;21:02;Reclamação;Internet;Velocidade de internet móvel abaixo;Respondida;SMP;TIM S.A.;Grande;TIM;RJ;RIO DE JANEIRO;SMP
28/02/2022;18:14;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;OI S.A.;Grande;Oi;PE;CARUARU;SMP
03/03/2023;16:36;Reclamação;Outros;Outros;Respondida;SMP;CLARO S/A;Grande;Claro;PR;PONTA GROSSA;SMP
01/11/2022;11:53;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Pendente;SMP;TIM S.A.;Grande;TIM;CE;SOBRAL;SMP
18/05/2023;10:09;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;CLARO S.A.;Grande;Claro;RJ;NOVA IGUAÇU;SMP
16/10/2022;21:16;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Pendente;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;ES;CARIACICA;SMP
04/07/2022;20:59;Reclamação;Qualidade;Queda de sinal / cobertura inadequada;Respondida;SMP;TELEFONICA BRASIL S.A.;Grande;Vivo;SP;CAMPINAS;SMP
30/06/2022;18:42;Reclamação;Atendimento;Atendimento ao cliente;Respondida;SMP;OI S.A.;Grande;Oi;CE;CAUCAIA;SMP
04/03/2023;20:41;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;CLARO S.A.;Grande;Claro;GO;GOIÂNIA;SMP
22/11/2022;14:47;Reclamação;Portabilidade;Portabilidade numérica não efetivada;Respondida;SMP;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;NÃO INFORMADO;MG;UBERLÂNDIA;SMP
11/02/2023;09:11;Reclamação;Cobrança;Cobrança indevida / surpresa na fatura;Respondida;SMP;CLARO S.A.;Grande;Claro;PA;ANANINDEUA;SMP
