uf,volume,taxa_resolucao,share_pct,ranking
SP,1681,72.52,21.01,1
RJ,902,69.07,11.28,2
MG,727,72.63,9.09,3
BA,556,70.68,6.95,4
PR,462,71.65,5.78,5
RS,461,74.19,5.76,6
PE,376,72.87,4.7,7
PA,291,69.42,3.64,8
CE,281,74.02,3.51,9
GO,245,66.94,3.06,10
MA,235,72.34,2.94,11
SC,234,72.65,2.92,12
ES,183,77.05,2.29,13
RN,147,71.43,1.84,14
MS,145,74.48,1.81,15
AM,143,79.72,1.79,16
PB,142,74.65,1.78,17
MT,140,65.71,1.75,18
DF,139,69.78,1.74,19
PI,91,65.93,1.14,20
AL,79,64.56,0.99,21
SE,74,78.38,0.92,22
RO,72,77.78,0.9,23
TO,68,72.06,0.85,24
RR,50,64.0,0.62,25
AC,38,81.58,0.48,26
AP,38,76.32,0.48,26
