ano_mes,operadora,volume,volume_mes_anterior,var_mom_pct,volume_ano_anterior,var_yoy_pct,media_movel_3m
2022-01,CLARO,128,,,,,128.0
2022-02,CLARO,132,128.0,3.12,,,130.0
2022-03,CLARO,130,132.0,-1.52,,,130.0
2022-04,CLARO,154,130.0,18.46,,,138.7
2022-05,CLARO,119,154.0,-22.73,,,134.3
2022-06,CLARO,131,119.0,10.08,,,134.7
2022-07,CLARO,139,131.0,6.11,,,129.7
2022-08,CLARO,119,139.0,-14.39,,,129.7
2022-09,CLARO,149,119.0,25.21,,,135.7
2022-10,CLARO,161,149.0,8.05,,,143.0
2022-11,CLARO,111,161.0,-31.06,,,140.3
2022-12,CLARO,150,111.0,35.14,,,140.7
2023-01,CLARO,158,150.0,5.33,128.0,23.44,139.7
2023-02,CLARO,149,158.0,-5.7,132.0,12.88,152.3
2023-03,CLARO,148,149.0,-0.67,130.0,13.85,151.7
2023-04,CLARO,143,148.0,-3.38,154.0,-7.14,146.7
2023-05,CLARO,136,143.0,-4.9,119.0,14.29,142.3
2023-06,CLARO,147,136.0,8.09,131.0,12.21,142.0
2023-07,CLARO,141,147.0,-4.08,139.0,1.44,141.3
2023-08,CLARO,150,141.0,6.38,119.0,26.05,146.0
2023-09,CLARO,145,150.0,-3.33,149.0,-2.68,145.3
2023-10,CLARO,154,145.0,6.21,161.0,-4.35,149.7
2023-11,CLARO,150,154.0,-2.6,111.0,35.14,149.7
2023-12,CLARO,147,150.0,-2.0,150.0,-2.0,150.3
2022-01,DESCONHECIDA,5,,,,,5.0
2022-02,DESCONHECIDA,6,5.0,20.0,,,5.5
2022-03,DESCONHECIDA,4,6.0,-33.33,,,5.0
2022-04,DESCONHECIDA,2,4.0,-50.0,,,4.0
2022-05,DESCONHECIDA,8,2.0,300.0,,,4.7
2022-06,DESCONHECIDA,1,8.0,-87.5,,,3.7
2022-07,DESCONHECIDA,3,1.0,200.0,,,4.0
2022-08,DESCONHECIDA,1,3.0,-66.67,,,1.7
2022-09,DESCONHECIDA,6,1.0,500.0,,,3.3
2022-10,DESCONHECIDA,4,6.0,-33.33,,,3.7
2022-11,DESCONHECIDA,3,4.0,-25.0,,,4.3
2022-12,DESCONHECIDA,3,3.0,0.0,,,3.3
2023-01,DESCONHECIDA,4,3.0,33.33,5.0,-20.0,3.3
2023-02,DESCONHECIDA,4,4.0,0.0,6.0,-33.33,3.7
2023-03,DESCONHECIDA,3,4.0,-25.0,4.0,-25.0,3.7
2023-04,DESCONHECIDA,4,3.0,33.33,2.0,100.0,3.7
2023-05,DESCONHECIDA,2,4.0,-50.0,8.0,-75.0,3.0
2023-06,DESCONHECIDA,1,2.0,-50.0,1.0,0.0,2.3
2023-07,DESCONHECIDA,4,1.0,300.0,3.0,33.33,2.3
2023-08,DESCONHECIDA,5,4.0,25.0,1.0,400.0,3.3
2023-09,DESCONHECIDA,2,5.0,-60.0,6.0,-66.67,3.7
2023-10,DESCONHECIDA,7,2.0,250.0,4.0,75.0,4.7
2023-11,DESCONHECIDA,8,7.0,14.29,3.0,166.67,5.7
2023-12,DESCONHECIDA,5,8.0,-37.5,3.0,66.67,6.7
2022-01,OI,37,,,,,37.0
2022-02,OI,40,37.0,8.11,,,38.5
2022-03,OI,29,40.0,-27.5,,,35.3
2022-04,OI,32,29.0,10.34,,,33.7
2022-05,OI,30,32.0,-6.25,,,30.3
2022-06,OI,37,30.0,23.33,,,33.0
2022-07,OI,25,37.0,-32.43,,,30.7
2022-08,OI,25,25.0,0.0,,,29.0
2022-09,OI,24,25.0,-4.0,,,24.7
2022-10,OI,31,24.0,29.17,,,26.7
2022-11,OI,39,31.0,25.81,,,31.3
2022-12,OI,33,39.0,-15.38,,,34.3
2023-01,OI,34,33.0,3.03,37.0,-8.11,35.3
2023-02,OI,27,34.0,-20.59,40.0,-32.5,31.3
2023-03,OI,34,27.0,25.93,29.0,17.24,31.7
2023-04,OI,41,34.0,20.59,32.0,28.12,34.0
2023-05,OI,37,41.0,-9.76,30.0,23.33,37.3
2023-06,OI,29,37.0,-21.62,37.0,-21.62,35.7
2023-07,OI,32,29.0,10.34,25.0,28.0,32.7
2023-08,OI,34,32.0,6.25,25.0,36.0,31.7
2023-09,OI,20,34.0,-41.18,24.0,-16.67,28.7
